Año,Comunidad Autonoma,Recoleccion-domésticos y vias,Recoleccion-voluminosos,Recoleccion-metálicos,Recoleccion-vidrio,Recoleccion-papel y carton,Recoleccion-plasticos,Recoleccion-madera,Recoleccion-textiles,Recoleccion-eq. electricos,Recoleccion-pilas,Recoleccion-animales,Recoleccion-Envases mixtos,lodos,Recoleccion-construccion,Recoleccion-otros,TOTAL RESIDUOS MEZCLADOS,TOTAL RESIDUOS DE RECOGIDA SEPARADA,TOTAL RESIDUOS
2018,Total nacional,17611068,673495,27875,834764,1067384,24050,136153,40344,58733,1890,1010016,743556,0,472548,1891,18284563,4419204,22703767
2018,Andalucía,3755593,153300,1600,108768,117131,1677,12520,3269,5036,108,92395,94281,0,81204,374,3908893,518363,4427256
2018,Aragón,475448,24205,324,18939,28910,251,3276,571,1226,12,8503,19142,0,69649,2,499653,150805,650458
2018,Principado de Asturias,388505,15404,813,16425,41766,943,3534,1234,2260,21,4879,12696,0,12409,44,403909,97024,500933
2018,ILLES BALEARS ,672375,65140,7982,40752,54341,407,2752,742,5105,19,54262,35189,0,19402,19,737515,220972,958487
2018,Canarias,1128714,25440,2305,41243,40485,5,1649,142,5969,385,27922,22676,0,34114,138,1154154,177033,1331187
2018,Cantabria,246839,23336,484,11261,10381,0,1813,1401,913,46,4400,6288,0,21622,84,270175,58693,328868
2018,Castilla y León,915396,17151,816,49557,43700,940,2941,2547,4897,234,6472,26313,0,14229,371,932547,153017,1085564
2018,Castilla - La Mancha,849572,9959,531,21350,28067,12199,5579,2972,2604,86,3967,22352,0,8013,27,859531,107747,967278
2018,Cataluña,2216496,117245,7293,168197,224596,2086,20624,8361,5659,374,472450,158751,0,68847,215,2333741,1137453,3471194
2018,Comunitat Valenciana,2050369,100906,2052,85018,70106,1761,17433,7237,3212,123,74512,52925,0,78893,327,2151275,393599,2544874
2018,Extremadura,425445,23809,123,8231,36522,0,304,368,263,10,0,13102,0,633,6,449254,59562,508816
2018,Galicia,940395,13508,1250,45757,37457,813,7195,396,7460,38,52319,25930,0,5652,75,953903,184342,1138245
2018,Comunidad de Madrid,1996857,27001,769,104923,121390,465,12049,1353,4070,104,95845,160183,0,17914,108,2023858,519173,2543031
2018,Región de Murcia,639712,7768,316,26263,20879,133,2129,560,1311,40,9046,18170,0,3612,15,647480,82474,729954
2018,Comunidad Foral de Navarra,153346,20058,143,16777,27931,114,5051,3956,4696,128,38706,22389,0,674,60,173404,120625,294029
2018,País Vasco,609079,25268,1065,61700,147679,2255,36885,5223,3746,142,64337,47662,0,35532,22,634347,406248,1040595
2018,LA RIOJA ,107923,3193,1,8923,8150,1,71,10,178,16,0,5507,0,144,4,111116,23005,134121
2017,Total nacional,17457709,814281,20940,815883,1061380,24571,189733,39235,54599,1780,876822,660932,0,495597,1719,18271990,4243191,22515181
2017,Andalucía,3493910,380959,4627,91570,102877,1421,13969,3392,4349,118,92046,85646,0,110367,146,3874869,510528,4385397
2017,Aragón,470023,3391,220,18197,26725,0,4645,581,1295,46,1539,16236,0,36838,3,473414,106325,579739
2017,Principado de Asturias,384797,8016,827,32131,53924,537,3176,882,1505,11,18226,11443,0,16007,29,392813,138698,531511
2017,ILLES BALEARS ,665699,20453,775,38640,45630,3,4993,860,2218,28,42829,31911,0,14417,19,686152,182323,868475
2017,Canarias,1123413,22064,1334,38888,31954,76,1606,1045,4541,209,21812,20067,0,28244,216,1145477,149992,1295469
2017,Cantabria,240509,21135,418,10980,4053,0,1958,1312,843,41,3035,5748,0,20774,71,261644,49233,310877
2017,Castilla y León,898486,28717,596,48353,45179,447,3014,1573,2854,178,4204,23634,0,17755,455,927203,148242,1075445
2017,Castilla - La Mancha,802570,29996,399,21371,31374,11519,6475,1732,4856,51,3131,19696,0,4874,26,832566,105504,938070
2017,Cataluña,2350780,105836,7023,182760,296067,2175,71541,6822,6729,393,465230,141409,0,102248,355,2456616,1282752,3739368
2017,Comunitat Valenciana,2014008,70823,1341,82770,60081,481,17071,4999,2331,98,64083,44216,0,72359,88,2084831,349918,2434749
2017,Extremadura,425308,13280,199,7943,31576,0,221,66,116,9,0,11776,0,9972,4,438588,61882,500470
2017,Galicia,938191,12507,652,43307,33262,1324,4590,81,6736,72,47276,23194,0,7754,53,950698,168301,1118999
2017,Comunidad de Madrid,2159053,44938,663,89184,99641,2879,12263,1260,2512,147,54526,140324,0,15965,160,2203991,419524,2623515
2017,Región de Murcia,640121,13814,240,24809,18764,694,1427,574,1688,61,4812,16144,0,1849,12,653935,71074,725009
2017,Comunidad Foral de Navarra,156189,16568,75,16179,26211,648,4844,3231,4384,121,34191,21217,0,0,12,172757,111113,283870
2017,País Vasco,550836,20175,1476,59903,139386,2325,37757,10814,7290,174,19882,43283,0,36071,66,571011,358427,929438
2017,LA RIOJA ,106943,1592,74,8570,7971,43,181,12,223,16,0,4989,0,103,6,108535,22188,130723
2016,Total nacional,17141367,910708,20376,797928,1021166,25119,95081,34616,46068,1920,835703,611790,0,295142,41389,18052075,3826298,21878373
2016,Andalucía,3545590,361986,4425,99622,101816,727,8619,3301,4264,149,89603,81932,0,61285,32272,3907576,488015,4395591
2016,Aragón,454709,3907,327,17778,25012,43,1230,11,796,57,7480,15838,0,1852,0,458616,70424,529040
2016,Principado de Asturias,395702,2222,563,37945,62374,473,4004,0,708,8,13728,10867,0,9315,36,397924,140021,537945
2016,ILLES BALEARS ,690919,7845,569,36051,43425,21,307,2493,1244,0,36739,20774,0,4901,840,698764,147364,846128
2016,Canarias,1073045,23555,1096,35939,33094,4549,774,1078,5182,48,19956,18950,0,24239,3597,1096600,148502,1245102
2016,Cantabria,241085,23004,421,11212,5050,0,1536,1207,738,45,3079,5495,0,20053,2,264089,48838,312927
2016,Castilla y León,906336,11829,926,44175,44676,858,1263,1371,7065,342,5235,22562,0,18309,1,918165,146783,1064948
2016,Castilla - La Mancha,794580,86875,290,20555,26665,9947,4535,1901,1887,87,1331,18780,0,3439,28,881455,89445,970900
2016,Cataluña,2276881,163348,4091,170831,273028,910,20015,2771,4581,257,449152,130925,0,42330,158,2440229,1099049,3539278
2016,Comunitat Valenciana,1855269,82055,763,82254,62387,639,5201,4988,1617,77,35000,43424,0,36085,14,1937324,272449,2209773
2016,Extremadura,398673,17444,3836,9559,34629,4,231,93,259,12,0,11320,0,10006,0,416117,69949,486066
2016,Galicia,933618,12217,663,41253,34402,1100,2150,114,5089,324,45756,22893,0,6996,4029,945835,164769,1110604
2016,Comunidad de Madrid,2017961,59683,522,81820,88078,480,7487,1129,2229,148,59119,128170,0,25022,108,2077644,394312,2471956
2016,Región de Murcia,613940,10283,242,24485,17864,1512,859,564,965,95,5177,14860,0,2587,81,624223,69291,693514
2016,Comunidad Foral de Navarra,153238,12147,194,15959,26684,641,4135,2671,3936,120,49360,20542,0,28,0,165385,124270,289655
2016,País Vasco,640017,30764,1367,59178,128576,3207,32652,10916,5190,139,14988,39679,0,20334,216,670781,316442,987223
2016,LA RIOJA ,106233,1529,80,8784,7991,7,82,8,213,11,0,4780,0,8360,7,107762,30323,138085
2015,Total nacional,17106176,647373,22430,755608,1008959,39453,87765,40767,63338,3687,789919,592353,0,430561,57905,17753549,3892745,21646294
2015,Andalucía,3479079,255581,4324,95057,100815,2363,10079,2945,3657,161,98345,80176,0,104780,554,3734660,503256,4237916
2015,Aragón,449639,8087,346,17676,22445,13,679,591,1035,5,16095,16343,0,32571,23,457726,107822,565548
2015,Principado de Asturias,388188,15971,750,33197,56253,953,3561,579,2296,21,7284,10476,0,22320,434,404159,138124,542283
2015,ILLES BALEARS ,740768,25968,259,31759,40223,359,140,198,1412,14,32961,18842,0,11049,523,766736,137739,904475
2015,Canarias,1108156,36822,515,33225,31543,31,675,474,2779,814,21541,16990,0,9477,1053,1144978,119117,1264095
2015,Cantabria,240609,19841,307,10999,9640,0,0,782,603,73,4034,5277,0,18562,89,260450,50366,310816
2015,Castilla y León,918192,13041,996,40826,43442,322,1613,530,9521,219,4808,21066,0,10996,1972,931233,136311,1067544
2015,Castilla - La Mancha,822222,40640,354,20630,24356,307,1387,813,3757,264,0,18582,0,4709,738,862862,75897,938759
2015,Cataluña,2283180,94157,4885,158878,298134,2964,35209,2693,6361,857,430929,129526,0,87722,19663,2377337,1177821,3555158
2015,Comunitat Valenciana,1865704,44483,2119,80869,54032,1889,2810,4556,4396,83,39696,42150,0,38457,6135,1910187,277192,2187379
2015,Extremadura,405565,4207,2561,8003,40151,13,0,115,214,21,0,10798,0,25929,421,409772,88226,497998
2015,Galicia,925608,14872,2751,39743,32591,26702,11267,227,8726,79,45501,22123,0,12499,336,940480,202545,1143025
2015,Comunidad de Madrid,1929269,50243,1556,78430,86451,372,5594,608,10004,164,25557,123505,0,17076,0,1979512,349317,2328829
2015,Región de Murcia,589409,11306,194,23450,13814,170,793,144,2373,730,11503,13466,0,11965,747,600715,79349,680064
2015,Comunidad Foral de Navarra,158723,2865,57,15871,26057,1589,3413,1235,1360,58,43156,20101,0,3,21780,161588,134680,296268
2015,País Vasco,659754,8447,430,58948,117879,1398,9920,11907,4776,109,8509,38244,0,22408,3426,668201,277954,946155
2015,LA RIOJA ,105254,842,26,7532,7605,9,625,198,68,15,0,4688,0,39,10,106096,20815,126911
2014,Total nacional,16886941,643136,22598,733864,976896,39807,88498,41329,52582,3061,781960,565736,0,433444,58455,17530077,3798230,21328307
2014,Andalucía,3437380,252293,4321,82208,95866,2361,10070,2981,3006,132,99030,76354,0,104686,553,3689673,481568,4171241
2014,Aragón,444074,8027,348,16668,22514,13,682,592,856,4,3996,14560,0,32734,23,452101,92990,545091
