Tipo de residuo;Comunidades autónomas;periodo;Total
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2018;17.611.068
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2017;17.457.709
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2016;17.141.367
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2015;17.106.176
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2014;16.886.941
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2013;17.320.704
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2012;17.911.466
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2011;18.291.848
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Total nacional;2010;18.808.667
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2018;3.755.593
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2017;3.493.910
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2016;3.545.590
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2015;3.479.079
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2014;3.437.380
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2013;3.825.590
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2012;4.134.974
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2011;3.796.057
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Andalucía;2010;4.213.174
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2018;475.448
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2017;470.023
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2016;454.709
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2015;449.639
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2014;444.074
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2013;440.763
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2012;459.778
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2011;487.574
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Aragón;2010;479.442
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2018;388.505
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2017;384.797
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2016;395.702
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2015;388.188
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2014;378.646
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2013;379.965
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2012;397.887
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2011;429.491
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Asturias, Principado de;2010;444.310
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Balears, Illes;2018;672.375
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Balears, Illes;2017;665.699
10.1.1 Residuos domésticos y similares (domésticos y vías públicas);Balears, Illes;2016;690.919
