Biological treatment of waste - Anaerobic digestion at biogas facilities,Biological treatment of waste - Composting,Biological treatment of waste - Solid waste disposal on land,Clinical waste incineration,Cremation,Domestic wastewater handling,Hazardous waste incineration,Industrial waste incineration,Industrial wastewater handling,Municipal waste incineration,Open burning of waste,Other waste (please specify in IIR),Other waste incineration (please specify in the IIR),Other wastewater handling,Sewage sludge incineration,Año,Comunidad Autonoma
0.12,1.09,4.52,0.0,0.32,0.31,0.0,0.0,0.09,0.0,792.33,16.23,0.0,1.49,13.14,2010,Total Nacional
0.19,1.03,4.76,0.0,0.34,0.23,0.0,0.0,0.09,0.0,826.9,19.8,0.0,1.45,13.03,2011,Total Nacional
0.25,0.99,4.74,0.0,0.38,0.22,0.0,0.0,0.08,0.0,542.86,18.72,0.0,0.67,15.78,2012,Total Nacional
0.41,0.91,4.66,0.0,0.39,0.22,0.0,0.0,0.08,0.0,954.47,17.95,0.0,0.67,10.58,2013,Total Nacional
0.49,0.83,4.46,0.0,0.47,0.22,0.0,0.0,0.09,0.0,622.23,17.46,0.0,2.08,11.24,2014,Total Nacional
0.57,0.88,4.6,0.0,0.52,0.22,0.0,0.0,0.09,0.0,797.12,17.37,0.0,2.08,11.58,2015,Total Nacional
0.39,0.86,4.54,0.0,0.56,0.21,0.0,0.0,0.09,0.0,785.16,50.31,0.0,2.08,11.92,2016,Total Nacional
0.51,0.86,4.52,0.0,0.55,0.21,0.0,0.0,0.09,0.0,742.75,16.83,0.0,2.09,11.61,2017,Total Nacional
0.51,0.78,4.81,0.0,0.6,0.21,0.0,0.0,0.09,0.0,1009.63,17.52,0.0,2.09,11.56,2018,Total Nacional
0.51,0.78,4.78,0.0,0.59,0.21,0.0,0.0,0.09,0.0,1009.63,21.66,0.0,2.11,11.44,2019,Total Nacional
