Año,Comunidad Autónoma,Reciclado procedente de recogida separada,Materiales recuperados-TMB mezclados,Compostado/Digestion anaerobia de FORS,Compostado/Digestión anaerobia,Incinerado,Vertido de rechazos,Vertido sin tratamiento previo,Total
2018,ANDALUCÍA,412818.0,166217.0,45572.0,685734.0,0.0,2404796.0,599650.0,4314787.0
2018,ARAGÓN,82418.0,10209.0,212000.0,79834.0,0.0,172831.0,226741.0,572245.0
2018,PRINCIPADO DE ASTURIAS,83728.0,0.0,2481.0,0.0,0.0,4908.0,390873.0,481990.0
2018,ILLES BALEARS ,153149.0,1938.0,36774.0,16690.0,505886.0,37932.0,143927.0,896296.0
2018,CANARIAS,140174.0,58936.0,1248.0,176590.0,0.0,820742.0,113704.0,1311394.0
2018,CANTABRIA,38043.0,14533.0,0.0,31386.0,118759.0,67971.0,21733.0,292425.0
2018,CASTILLA - LA MANCHA,92194.0,34122.0,0.0,245494.0,0.0,523249.0,62220.0,957279.0
2018,CASTILLA Y LEÓN,151641.0,32816.0,233000.0,180466.0,0.0,712931.0,9519.0,1087606.0
2018,CATALUÑA,678878.0,206755.0,302759.0,541664.0,640652.0,653551.0,417697.0,3441955.0
2018,EXTREMADURA,70385.0,14238.0,0.0,145852.0,0.0,250727.0,22502.0,503704.0
2018,GALICIA,133513.0,30020.0,7482.0,54458.0,533699.0,175722.0,209868.0,1144762.0
2018,LA RIOJA ,27969.0,4537.0,0.0,31081.0,0.0,74533.0,0.0,138120.0
2018,COMUNIDAD DE MADRID,396446.0,40744.0,17554.0,64301.0,480769.0,507402.0,1075348.0,2582564.0
2018,REGIÓN DE MURCIA,82964.0,26423.0,0.0,125286.0,0.0,484148.0,23251.0,742072.0
2018,COMUNIDAD FORAL DE NAVARRA,71919.0,1061.0,31904.0,25992.0,0.0,56713.0,87536.0,275126.0
2018,PAÍS VASCO,313910.0,13512.0,58416.0,58327.0,260251.0,173229.0,126890.0,1004534.0
2018,COMUNITAT VALENCIANA,279764.0,128774.0,0.0,822011.0,0.0,1200792.0,0.0,2431341.0
2018,CEUTA,5785.0,1559.0,0.0,29000.0,0.0,34255.0,0.0,41628.0
2018,MELILLA,5502.0,0.0,0.0,0.0,39493.0,0.0,0.0,44995.0
2018,TOTAL NACIONAL,3221200.0,786394.0,949190.0,3314166.0,2579509.0,8356432.0,3531459.0,22264823.0
2017,ANDALUCÍA,386538.0,135538.0,37991.0,700793.0,0.0,2172227.0,588749.0,4021836.0
2017,ARAGÓN,80778.0,10387.0,107.0,75285.0,0.0,165486.0,225594.0,557637.0
2017,PRINCIPADO DE ASTURIAS,124207.0,0.0,15582.0,0.0,0.0,5366.0,386960.0,532115.0
2017,ILLES BALEARS ,143799.0,48.0,29992.0,16179.0,499431.0,39216.0,140144.0,868808.0
2017,CANARIAS,133053.0,55610.0,1970.0,197289.0,0.0,716994.0,186790.0,1291705.0
2017,CANTABRIA,30843.0,12499.0,0.0,54241.0,118263.0,43530.0,18114.0,277491.0
2017,CASTILLA - LA MANCHA,104393.0,39527.0,0.0,221085.0,0.0,466050.0,88614.0,919669.0
2017,CASTILLA Y LEÓN,160944.0,34861.0,0.0,194212.0,0.0,686829.0,72.0,1076917.0
2017,CATALUÑA,877728.0,138251.0,336438.0,667771.0,668133.0,534832.0,486352.0,3709505.0
2017,EXTREMADURA,66513.0,14800.0,0.0,121845.0,0.0,258471.0,38385.0,500013.0
2017,GALICIA,130046.0,23518.0,8246.0,54873.0,549447.0,151123.0,216457.0,1133711.0
2017,LA RIOJA ,28676.0,4606.0,0.0,27284.0,0.0,77184.0,0.0,137748.0
2017,COMUNIDAD DE MADRID,358196.0,42946.0,17995.0,28537.0,655762.0,492036.0,1063770.0,2659241.0
2017,REGIÓN DE MURCIA,81408.0,19962.0,0.0,141790.0,0.0,492496.0,0.0,735655.0
2017,COMUNIDAD FORAL DE NAVARRA,69583.0,989.0,30865.0,33554.0,0.0,48947.0,88492.0,272430.0
2017,PAÍS VASCO,313046.0,8959.0,19641.0,39183.0,272237.0,83766.0,163014.0,899847.0
2017,COMUNITAT VALENCIANA,273613.0,117653.0,0.0,845290.0,2795.0,1137355.0,0.0,2376705.0
2017,CEUTA,5658.0,0.0,0.0,0.0,0.0,0.0,0.0,5658.0
2017,MELILLA,3767.0,0.0,0.0,0.0,37407.0,0.0,0.0,41173.0
2017,TOTAL NACIONAL,3372785.0,660153.0,498827.0,3419208.0,2803475.0,7571910.0,3691506.0,22017865.0
2016,ANDALUCÍA,412.82,166.217,45.572,685.73,0.0,2404796.0,59965.0,4314787.0
2016,ARAGÓN,82.42,10.209,212.0,79.83,0.0,172831.0,226741.0,572245.0
2016,PRINCIPADO DE ASTURIAS,83.73,0.0,2.481,0.0,0.0,4908.0,390873.0,48199.0
2016,ILLES BALEARS ,153.15,1.938,36.774,16.69,505.89,37932.0,143927.0,896296.0
2016,CANARIAS,140.17,58.936,1.248,176.59,0.0,820742.0,113704.0,1311394.0
2016,CANTABRIA,38.04,14.533,0.0,31.39,118.76,67971.0,21733.0,292425.0
2016,CASTILLA - LA MANCHA,92.19,34.122,0.0,245.49,0.0,523249.0,6222.0,957279.0
2016,CASTILLA Y LEÓN,151.64,32.816,233.0,180.47,0.0,712931.0,9519.0,1087606.0
2016,CATALUÑA,678.88,206.755,302.759,541.66,640.65,653551.0,417697.0,3441955.0
2016,EXTREMADURA,70.39,14.238,0.0,145.85,0.0,250727.0,22502.0,503704.0
2016,GALICIA,133.51,30.02,7.482,54.46,533.7,175722.0,209868.0,1144762.0
2016,LA RIOJA ,27.97,4.537,0.0,31.08,0.0,74533.0,0.0,13812.0
2016,COMUNIDAD DE MADRID,396.45,40.744,17.554,64.3,480.77,507402.0,1075348.0,2582564.0
2016,REGIÓN DE MURCIA,82.96,26.423,0.0,125.29,0.0,484148.0,23251.0,742072.0
2016,COMUNIDAD FORAL DE NAVARRA,71.92,1.061,31.904,25.99,0.0,56.71,87.536,275.13
2016,PAÍS VASCO,313.91,13.512,58.416,58.33,260.25,173.23,126.89,1004534.0
2016,COMUNITAT VALENCIANA,279.76,128.774,0.0,822.01,0.0,1200792.0,0.0,2431341.0
2016,CEUTA,5.78,1.559,0.0,29.0,0.0,34255.0,0.0,41628.0
2016,MELILLA,5.5,0.0,0.0,0.0,39493.0,0.0,0.0,44995.0
2016,TOTAL NACIONAL,3372785.0,660153.0,498827.0,3419208.0,2803475.0,7571910.0,3691506.0,22017865.0
2015,ANDALUCÍA,407505.0,163442.0,38653.0,679523.0,0.0,2238826.0,562526.0,4090475.0
2015,ARAGÓN,77592.0,10773.0,0.0,64019.0,0.0,180266.0,213157.0,545807.0
2015,PRINCIPADO DE ASTURIAS,145502.0,0.0,12009.0,0.0,0.0,4287.0,397120.0,558919.0
2015,ILLES BALEARS ,125820.0,259.0,25542.0,31324.0,535595.0,15588.0,131818.0,865946.0
2015,CANARIAS,124861.0,37151.0,2397.0,82173.0,0.0,589058.0,393676.0,1229316.0
2015,CANTABRIA,32738.0,13039.0,0.0,51433.0,117553.0,44072.0,20591.0,279426.0
2015,CASTILLA - LA MANCHA,95415.0,37974.0,0.0,177125.0,0.0,428841.0,161803.0,901158.0
2015,CASTILLA Y LEÓN,155278.0,33568.0,0.0,202215.0,0.0,687004.0,1260.0,1079325.0
2015,CATALUÑA,811069.0,141528.0,338584.0,550009.0,638502.0,505202.0,576972.0,3561865.0
2015,EXTREMADURA,73579.0,15029.0,0.0,110811.0,0.0,280794.0,0.0,480213.0
2015,GALICIA,131220.0,28516.0,8103.0,54987.0,532497.0,152021.0,218767.0,1126110.0
2015,LA RIOJA ,29526.0,5459.0,0.0,35315.0,0.0,67343.0,0.0,137643.0
2015,COMUNIDAD DE MADRID,329501.0,44285.0,22148.0,25347.0,447932.0,541605.0,1071846.0,2482664.0
2015,REGIÓN DE MURCIA,77776.0,21351.0,3503.0,133120.0,1725.0,457117.0,12260.0,706853.0
2015,COMUNIDAD FORAL DE NAVARRA,70574.0,1025.0,44181.0,30608.0,0.0,51966.0,86761.0,285115.0
2015,PAÍS VASCO,299476.0,11467.0,14178.0,54587.0,261348.0,93742.0,232626.0,967424.0
2015,COMUNITAT VALENCIANA,277859.0,106560.0,0.0,558239.0,9916.0,1238984.0,0.0,2191558.0
2015,CEUTA,3270.0,0.0,0.0,0.0,0.0,0.0,0.0,3270.0
2015,MELILLA,4798.0,0.0,0.0,0.0,43958.0,0.0,0.0,48756.0
2015,TOTAL NACIONAL,3273360.0,671425.0,509298.0,2840833.0,2589025.0,7576718.0,4081184.0,21541842.0
2014,ANDALUCÍA,341319.0,138760.0,36742.0,600308.0,0.0,2339796.0,451871.0,3908796.0
2014,ARAGÓN,69919.0,15128.0,0.0,66871.0,0.0,160043.0,211018.0,522978.0
2014,PRINCIPADO DE ASTURIAS,115005.0,0.0,17290.0,0.0,0.0,4375.0,378646.0,515315.0
2014,ILLES BALEARS ,105574.0,198.0,24416.0,18560.0,453996.0,26409.0,109263.0,738416.0
2014,CANARIAS,99777.0,17707.0,1642.0,56427.0,0.0,364636.0,661526.0,1201715.0
2014,CANTABRIA,35995.0,14570.0,0.0,49451.0,120766.0,36282.0,17056.0,274120.0
2014,CASTILLA - LA MANCHA,84847.0,29143.0,0.0,175318.0,0.0,399668.0,176256.0,865233.0
2014,CASTILLA Y LEÓN,141076.0,34830.0,0.0,210626.0,0.0,684694.0,3020.0,1074246.0
2014,CATALUÑA,696021.0,103156.0,363546.0,307005.0,708336.0,669765.0,796701.0,3644530.0
2014,EXTREMADURA,72289.0,15206.0,0.0,104392.0,0.0,269702.0,22287.0,483876.0
2014,GALICIA,118237.0,27842.0,8830.0,57645.0,546732.0,153728.0,189411.0,1102425.0
2014,LA RIOJA ,24629.0,5225.0,0.0,39857.0,0.0,61255.0,0.0,130966.0
2014,COMUNIDAD DE MADRID,309128.0,45437.0,13232.0,43405.0,349946.0,622428.0,1000357.0,2383933.0
2014,REGIÓN DE MURCIA,61825.0,13132.0,0.0,98669.0,0.0,485697.0,10669.0,669991.0
2014,COMUNIDAD FORAL DE NAVARRA,67348.0,751.0,16989.0,32511.0,0.0,46372.0,96698.0,260669.0
2014,PAÍS VASCO,272376.0,22289.0,6468.0,27361.0,237992.0,81245.0,208694.0,856425.0
2014,COMUNITAT VALENCIANA,252584.0,112072.0,0.0,676626.0,0.0,1114264.0,616.0,2156162.0
2014,CEUTA,3245.0,0.0,0.0,0.0,0.0,0.0,0.0,3245.0
2014,MELILLA,2718.0,0.0,0.0,0.0,41279.0,0.0,0.0,43997.0
2014,TOTAL NACIONAL,2873913.0,595446.0,489154.0,2565033.0,2459046.0,7520360.0,4334087.0,20837040.0
