Comunidad Autónoma,Año,PIB
ANDALUCÍA,2010,144752225
ANDALUCÍA,2018,160711363
ANDALUCÍA,2016,148405362
ANDALUCÍA,2014,137722026
ANDALUCÍA,2011,143389086
ANDALUCÍA,2012,138007226
ANDALUCÍA,2013,136048003
ANDALUCÍA,2017,155371755
ANDALUCÍA,2015,144745569
ARAGÓN,2012,31963049
ARAGÓN,2013,32082809
ARAGÓN,2016,34214691
ARAGÓN,2014,32289054
ARAGÓN,2015,32876311
ARAGÓN,2010,33828995
ARAGÓN,2018,36850296
ARAGÓN,2017,35638352
ARAGÓN,2011,33368344
CANARIAS,2017,44205400
CANARIAS,2012,39204779
CANARIAS,2016,42013704
CANARIAS,2013,39032454
CANARIAS,2011,40595330
CANARIAS,2010,40811481
CANARIAS,2015,40566240
CANARIAS,2018,45823321
CANARIAS,2014,39266705
CANTABRIA,2012,12167280
CANTABRIA,2011,12622706
CANTABRIA,2010,12836685
CANTABRIA,2013,11864241
CANTABRIA,2018,13737756
CANTABRIA,2014,12057567
CANTABRIA,2015,12325933
CANTABRIA,2016,12736089
CANTABRIA,2017,13226038
CASTILLA - LA MANCHA,2015,37113609
CASTILLA - LA MANCHA,2014,35353236
CASTILLA - LA MANCHA,2010,38706827
CASTILLA - LA MANCHA,2017,39891219
CASTILLA - LA MANCHA,2013,36153041
CASTILLA - LA MANCHA,2011,38258606
CASTILLA - LA MANCHA,2012,36890198
CASTILLA - LA MANCHA,2018,41521223
CASTILLA - LA MANCHA,2016,38315029
CASTILLA Y LEÓN,2014,51539425
CASTILLA Y LEÓN,2013,51504174
CASTILLA Y LEÓN,2015,53238351
CASTILLA Y LEÓN,2016,54767172
CASTILLA Y LEÓN,2012,52868471
CASTILLA Y LEÓN,2010,54970431
CASTILLA Y LEÓN,2018,58477225
CASTILLA Y LEÓN,2011,54575008
CASTILLA Y LEÓN,2017,56051831
CATALUÑA,2013,192006545
CATALUÑA,2011,198906023
CATALUÑA,2018,229345722
CATALUÑA,2014,195370105
CATALUÑA,2015,204355232
CATALUÑA,2017,221476488
CATALUÑA,2010,201705890
CATALUÑA,2012,193449278
CATALUÑA,2016,212703912
CEUTA,2016,1636511
CEUTA,2017,1659859
CEUTA,2012,1525243
CEUTA,2018,1720295
CEUTA,2014,1543087
CEUTA,2010,1578805
CEUTA,2015,1597390
CEUTA,2011,1575312
CEUTA,2013,1551851
COMUNIDAD DE MADRID,2018,231133592
COMUNIDAD DE MADRID,2010,197145571
COMUNIDAD DE MADRID,2013,192620202
COMUNIDAD DE MADRID,2017,222027547
COMUNIDAD DE MADRID,2011,198465261
COMUNIDAD DE MADRID,2014,194960214
COMUNIDAD DE MADRID,2012,195026853
COMUNIDAD DE MADRID,2016,211672686
COMUNIDAD DE MADRID,2015,204244524
COMUNIDAD FORAL DE NAVARRA,2018,20047454
COMUNIDAD FORAL DE NAVARRA,2016,18747249
COMUNIDAD FORAL DE NAVARRA,2015,18145704
COMUNIDAD FORAL DE NAVARRA,2013,17237767
COMUNIDAD FORAL DE NAVARRA,2017,19528873
COMUNIDAD FORAL DE NAVARRA,2011,17942160
COMUNIDAD FORAL DE NAVARRA,2012,17282206
COMUNIDAD FORAL DE NAVARRA,2010,17973969
COMUNIDAD FORAL DE NAVARRA,2014,17505255
COMUNITAT VALENCIANA,2018,111793978
COMUNITAT VALENCIANA,2015,100110751
COMUNITAT VALENCIANA,2017,107785815
COMUNITAT VALENCIANA,2016,103228580
COMUNITAT VALENCIANA,2014,96320641
COMUNITAT VALENCIANA,2012,95177430
COMUNITAT VALENCIANA,2011,99706759
COMUNITAT VALENCIANA,2010,101201463
COMUNITAT VALENCIANA,2013,94309154
EXTREMADURA,2014,17024183
EXTREMADURA,2013,17057479
EXTREMADURA,2012,17065094
EXTREMADURA,2016,18504343
EXTREMADURA,2010,18135329
EXTREMADURA,2018,20088238
EXTREMADURA,2017,19534814
EXTREMADURA,2011,17738058
EXTREMADURA,2015,17902594
GALICIA,2013,53925394
GALICIA,2010,56767263
GALICIA,2015,56666599
GALICIA,2018,62436133
GALICIA,2014,54190333
GALICIA,2012,53971849
GALICIA,2016,58279948
GALICIA,2011,55767991
GALICIA,2017,60394810
ILLES BALEARS ,2016,29831313
ILLES BALEARS ,2018,32767619
ILLES BALEARS ,2013,25931407
ILLES BALEARS ,2011,26398144
ILLES BALEARS ,2012,25979358
ILLES BALEARS ,2010,26535097
ILLES BALEARS ,2014,26769837
ILLES BALEARS ,2015,28245574
ILLES BALEARS ,2017,31383376
LA RIOJA ,2014,7685969
LA RIOJA ,2017,8295191
LA RIOJA ,2016,8014694
LA RIOJA ,2018,8593185
LA RIOJA ,2010,7977333
LA RIOJA ,2012,7636210
LA RIOJA ,2015,7962438
LA RIOJA ,2013,7539145
LA RIOJA ,2011,7907440
MELILLA,2012,1369832
MELILLA,2010,1415709
MELILLA,2014,1402792
MELILLA,2011,1417774
MELILLA,2016,1506101
MELILLA,2015,1461285
MELILLA,2013,1389601
MELILLA,2018,1582540
MELILLA,2017,1519867
PAÍS VASCO,2017,69657915
PAÍS VASCO,2010,64680368
PAÍS VASCO,2018,72029560
PAÍS VASCO,2014,62677248
PAÍS VASCO,2013,61625767
PAÍS VASCO,2015,64989988
PAÍS VASCO,2011,64130843
PAÍS VASCO,2016,67126912
PAÍS VASCO,2012,62558828
PRINCIPADO DE ASTURIAS,2016,21694246
PRINCIPADO DE ASTURIAS,2013,20746770
PRINCIPADO DE ASTURIAS,2018,23258673
PRINCIPADO DE ASTURIAS,2014,20652899
PRINCIPADO DE ASTURIAS,2011,22375426
PRINCIPADO DE ASTURIAS,2015,21372587
PRINCIPADO DE ASTURIAS,2012,21364846
PRINCIPADO DE ASTURIAS,2017,22592548
PRINCIPADO DE ASTURIAS,2010,22733586
REGIÓN DE MURCIA,2013,26566278
REGIÓN DE MURCIA,2016,29369879
REGIÓN DE MURCIA,2014,26712051
REGIÓN DE MURCIA,2017,30538493
REGIÓN DE MURCIA,2018,31198376
REGIÓN DE MURCIA,2010,27912742
REGIÓN DE MURCIA,2015,28492083
REGIÓN DE MURCIA,2012,26508820
REGIÓN DE MURCIA,2011,27236069
TOTAL NACIONAL,2014,1032158000
TOTAL NACIONAL,2012,1031099000
TOTAL NACIONAL,2015,1077590000
TOTAL NACIONAL,2010,1072709000
TOTAL NACIONAL,2017,1161867000
TOTAL NACIONAL,2016,1113840000
TOTAL NACIONAL,2011,1063763000
TOTAL NACIONAL,2013,1020348000
TOTAL NACIONAL,2018,1204241000
